Description,CPT,Gross Charge
CT-PLC DVC SFT TS1ST,MANUL,2961.0
CULT STL BACT EA ADD,87046,38.0
S-TIB-PER REVAS ADD,SURG,1432.0
SPECIAL STAINS GRP 2,88313,169.0
RANITIDINE 25MG INJ,J2780,42.0
GALACTOSE TRANS SCRN,82776,62.0
FFP THAWING,86927,78.0
RBC PRETREAT CHEM,86970,133.0
HYDROMORPH UP TO 4MG,J1170,50.0
TETANUS IG HUM 250U,J1670,2003.0
S-INS CATH RENART 1B,SURG,17628.0
DEXAMETH NA 1MG INJ,J1100,4.7
S-TRNCTH CESS CTH RM,SURG,5298.0
GTT ADD SP,82952,66.0
CONCURRENT IV THER,96368,782.0
CHEMILUM ASSAY NOS,82397,388.0
COMPATIB TEST IS,86920,411.0
GENTAMICIN UPTO 80MG,J1580,25.0
NESIRITIDE 0.1MG INJ,J2325,254.0
POTASSI CHL 2MEQ INJ,J3480,9.9
S-TIB-PER REVASC STN,SURG,1432.0
LEUK HISTAMINE RELEA,86343,79.0
UE-HUMERUS DR,73060,671.0
PROTHROMB COM 1UN IX,J7168,8.7
IR-PLA DUOD JEJ TUBE,49441,6743.0
MEPERID HCL 100MGINJ,J2175,47.0
GTT 3 SPEC,82951,199.0
UE-SHOULDER 1V DR,73020,681.0
"BLD GAS-PH,PO2,PCO2",82803,496.0
COG SKL DV AD15 COTA,97130,265.0
"ORGAN ACID,SIN,QUAN",83921,107.0
"SYPHILIS TEST, QUAL",86592,61.0
IR-PLC BIL DRCT EXT,SURG,13753.0
CPK TOTAL,82550,211.0
INJ VONWILLEB FAC IU,J7187,50.0
JOINT DEVICE IMPLT 3,C1776,22034.0
IV INJ RA DRUG DX ST,78808,1390.0
1ST SEP ID AB,88342,329.0
IR-TRNCTH CES CTH RM,SURG,4687.0
ABATACEPT 10MG INJ,J0129,169.0
"IC-IVUS, INIT",92978,22525.0
HEP B CORE TOT,86704,195.0
THERA EA AD IV PUSH,96375,456.0
AMINO ACID QUAN 6+,82139,126.0
THER APHERESI PLASMA,36514,6524.0
ANCHOR/SCRW LEVEL 5,C1713,2247.0
ENOXAPARIN 10MG INJ,J1650,42.0
SP-SCRM COCCYX 2V DR,72220,720.0
IR-EXCHG NPHSTMY CTH,SURG,8010.0
EVAL SP SND PROD CMP,92523,1031.0
CT-UPPER EXT WO,73200,3100.0
ENZYME ACTIVITY NOS,82657,289.0
WEST NILE VIR AB IGM,86788,94.0
INOP CYTOPAT CNSLT 2,88334,713.0
"FETAL LUNG, FPIA",83663,3239.0
FL-CYSTOGRM 3VPLS DR,74430,1096.0
LOCM 300-399MG/ML 1M,Q9967,3.7
IMPLANT OTHER LVL 2,C1889,2182.0
IR-IRR PORT DRUG DEL,96523,432.0
S-BX BONE DEEP,SURG,7963.0
"PHOSPHATASE,ALK ISO",84080,129.0
ADM TOCLZMAB COV 1ST,M0249,954.0
MNL THRPY-15MIN COTA,97140,281.0
CYCLOSPORNE 100MG PO,J7502,53.0
CAFFEINE QT,80155,140.0
PRS DRG IA MET,80306,106.0
SPECIAL STAINS GRP 1,88312,349.0
TUMOR AG CA 19-9,86301,478.0
CONN TISSUE HUMAN 4,C1762,23503.0
IR-ANG PULM NON SEL,75746,8406.0
FACTOR XIII,85290,79.0
OR LEV 3 INI 15 MIN,SURG,11452.0
PROCEDURE INTERMEDIA,SURG,2333.0
FOSPHENYTOIN 50MG,Q2009,14.0
MOLEC PATH LEV 5,81404,1082.0
IV THERAPY DX 1 HR,96365,929.0
HEB B VIR VACC 10MCG,90743,338.0
JAK2 GEN ANALY V617F,81270,599.0
NI-TTE STRESS WO,93350,5454.0
S-DISKOGRM C AND T,62291,1227.0
US-FNA W IMG 1ST LES,MANUL,1772.0
ADM IV INF CASI IMDV,M0243,1059.0
ANCHOR/SCRW LEVEL 9,C1713,7864.0
DENOSUMAB 1MG INJ,J0897,78.0
OXYTOCIN UP TO 10UN,J2590,47.0
NM-TUMOR LOC BDY 1D,78802,5627.0
IV THERAPY DX 1 HR,96365,1020.0
MAGNESIUM,83735,168.0
FONDAPARIN 0.5MG INJ,J1652,41.0
CHROMOSOME ANALYS  5,88261,981.0
S-FEM POP REVAS TLA,SURG,27408.0
BR-BRST BX LOC CLP 1,MANUL,7058.0
RABIES IG HEAT TX,90376,1434.0
IR-ARTHROGRAM KNEE,73580,1072.0
SMEAR COMPLEX STN,87209,278.0
"EPSTEIN-BARR, VCA",86665,156.0
US-DPLX SCN AV ACCES,93990,460.0
THER AP EX ADSORPTON,36516,19758.0
MR-CERV SPINE WWO,72156,7655.0
AFP-L3 AND TOTL AFP,82107,232.0
SP-THORACOLMBR 2V DR,72080,581.0
ANCHOR/SCRW LEVEL 12,C1713,12242.0
MICROALB QNT,82043,179.0
ANA,86038,202.0
IMM ADM FLU VACCINE,G0008,228.0
"HSV, DNA, AMP PROBE",87529,213.0
ELECTROPHORETIC TECH,82664,281.0
FDP-FSP AGG SLIDE,85362,142.0
BASIC META W-ION CA,80047,265.0
DEBRDE LE 20SQCM PT,97597,790.0
CT-HEAD WWO,70470,5310.0
S-PER PF ABL REN TUM,SURG,21205.0
S-ILIAC REVAS ADD-ON,SURG,405.0
BLOOD TYPING RH D,86901,98.0
IV HYDRATION 1 HR,96360,1020.0
OXCARBAEPINE QT,80183,74.0
NI-TEMP EXT PACE,92953,2895.0
DIPH/TET/ACPERT .5ML,90715,247.0
IC-PRQ DE COR STNT B,C9601,55666.0
ZIKA VIRUS IGM ANTIB,86794,73.0
IV HYDRATION 1 HR,96360,1019.0
CYTO EVAL FNA ADD,88177,529.0
US-UP EXT DPX ART BI,93930,945.0
S-INS TU CVC WOPU O5,36558,12655.0
PARAF BATH-VISIT OT,97018,281.0
FL-BARIUM ENEMA,74270,1925.0
"SPECTROPHOTO, NOS",84311,201.0
MICAFUNGIN 1MG INJ,J2248,6.7
IR-AABF SERIAL,75630,5438.0
ROPIVACAINE 1MG INJ,J2795,1.2
BLD TYPE DONOR EA AG,86902,140.0
"OSMOLALITY,URINE",83935,365.0
CTA-LOWER EXT,73706,14912.0
US-DRN INJ MAJR JT W,20611,2991.0
CTA-UPPER EXT,73206,7455.0
SPINAL TAP DIAG W-IM,62328,4516.0
CC-RVSC IVL STENT,SURG,49206.0
CHEMO IV PUMP GT 8HR,96416,1105.0
OR LEV 3 EA ADD MIN,SURG,131.0
GADOTERATE 0.1ML INJ,A9575,2.0
CH-ABD SER PA CXR DR,74022,1239.0
EPOPROSTENOL 0.5MG,J1325,80.0
IV THERAPY EA AD HR,96366,362.0
DOPAMIN HCL 40MG INJ,J1265,4.7
AD PROCEDURE OR LV 1,SURG,2291.0
CHEMO IV EA SEQ INF,96417,841.0
IRON,83540,169.0
CATH-RETRIEVAL 1,C1773,7487.0
DEXAMETH NA 1MG INJ,J1100,4.7
"UREA NITROGEN,URINE",84540,101.0
IR-CAT DIAL TRAN BAL,SURG,7005.0
NI-EXT ARTERIAL COMP,93923,784.0
HEPB SCR HGH RSK IND,86849,1742.0
MR-LUMB SPINE WO,72148,5732.0
IN111 PENTETAT-.5MCI,A9548,3012.0
PTT SUBSTITUT,85732,39.0
TISSUE NON-HUMAN 7,C1763,31106.0
CHROMOSOM BANDINGSTU,88283,381.0
MIDAZOL HCL 1MG INJ,J2250,1.3
MORPHINE PF 10MG INJ,J2274,50.0
CATH-INFUS PERIF 2,C1751,907.0
ROPIVACAINE 1MG INJ,J2795,1.5
PAMIDRONATE 30MG IJ,J2430,86.0
"HIV-1, DNA, QUANT",87536,990.0
FLUOROURACIL 500MG,J9190,23.0
S-INTROCATH VENACAVA,36010,2801.0
S-VENOUS MECH THROMB,SURG,27408.0
URGENT CARE LVL 2 NP,G0463,111.0
LE-LWR EXT INFANT DR,73592,623.0
S-PERC ABLT LIVER RF,SURG,21205.0
LDH ISOENZYMES,83625,102.0
FL-FLUORO 1 HOUR,76000,1082.0
DHEA,82626,211.0
"ENCEPHALITIS, CALIF",86651,50.0
"NEUTRALIZ TEST,VIRAL",86382,158.0
MESH IMPLANTABLE 12,C1781,34860.0
TIS HYBRD SPEC INIT,88365,149.0
S-PLACE RT MARKER,SURG,4893.0
CC-INSERT SG CATH,93503,12059.0
CREATININE UR-OTHER,82570,113.0
MAGNES SULF 500MGINJ,J3475,2.3
CHROMOSOME KARYOT ST,88280,172.0
HE-SKULL LIMITED DR,70250,986.0
VIT B12 CYAN 1000MCG,J3420,47.0
THERA EA AD IV PUSH,96375,510.0
"FACT VIII,VW,MULTIME",85247,159.0
BELATACEPT 1MG INJ,J0485,14.0
PHENTOLAMINE 5MG INJ,J2760,1605.0
LEVOFLOXAC 250MG INJ,J1956,23.0
"LACTOFERRIN,FEC QUAN",83631,88.0
RABIES VAC IM,90675,1347.0
S-BX MUSCLE PERC NDL,SURG,6254.0
CYCLOSPORINE 25MG PO,J7515,19.0
ELEC STM-MN-15MN PT,97032,354.0
LE-FEMUR 2V DR,73552,889.0
P-REVSE POCKET PACE,SURG,6712.0
TUMOR IHC QT UTO,88361,609.0
AGENT NOS ASSAY W-OP,87899,82.0
F5 GENE ANALY LEID V,81241,411.0
LEUTEINIZING HORMONE,83002,159.0
TRICHINELLA AB,86784,374.0
AMIODARONE 30MG INJ,J0283,40.0
CH-ABD SER PA CXR DR,74022,1239.0
NON SELECTIVE DEBRID,97602,973.0
FIBRINOGEN AG,85385,153.0
IVIG (OCTAGAM) 500MG,J1568,278.0
INTERSPINOUS IMPL L3,C1821,9103.0
CC-R HRT CORONRY ART,93456,48647.0
UE-CLAVICLE DR,73000,1253.0
CHOLESTEROL TOTAL,82465,103.0
NI-TILT TABLE,93660,5929.0
UE-WRIST 3V PLUS DR,73110,627.0
ETHANOL IA,82077,408.0
INS HYBR MAN MUL PR,88377,1921.0
"INSULIN, TOTAL",83525,111.0
MICROSCOPIC EX OF UR,81015,75.0
P-INS TMP PAC LD SGL,SURG,39731.0
THERA EA AD IV PUSH,96375,501.0
LEVEL 3 NP,G0463,928.0
SPIROMETRY,94010,963.0
IR-TIB PER REVAS SNT,SURG,75682.0
CHROMOSOME ANAL15-20,88262,908.0
HLA2 TYP LR 1 LOC EA,81376,694.0
CYTOGENETICS 100-300,88275,1195.0
"COLD AGG, TITER",86157,28.0
BLD OCCULT FECES 1-3,82270,137.0
MRA-HEAD WO,70544,5662.0
HE-MANDIBLE LTD DR,70100,470.0
SHEATH NON-LASR 2,C1894,5241.0
EPOET ALF-EPBX 1000U,Q5106,40.0
CEBPA GENE FULL SEQ,81218,918.0
TENOGLIDE PER SQ CM,C9356,17995.0
CT-CATH FLUID COLXN,MANUL,5505.0
CT-UPPER EXT WO BI,73200,6198.0
AMPICILLIN/SUB 1.5GM,J0295,15.0
DEFEROXAMIN 500MGINJ,J0895,58.0
CATH ABLTN NOCRD ED1,C1888,1873.0
MORPHINE PF 10MG INJ,J2274,50.0
RICKETTSIA AB,86757,87.0
MOLEC PATH LEV 6,81405,3032.0
BIOTINIDASE,82261,126.0
OB TRIAGE LVL 1 EP,G0463,496.0
SLF CRE MGT-15MN OT,97535,293.0
GI PATH AMP PRB12-25,87507,1124.0
LE-KNEE 4V PLUS DR,73564,897.0
GADOTERATE 0.1ML INJ,A9575,2.0
IMM ADM 1ST VACCINE,90471,249.0
PINWORM EXAM,87172,53.0
NORM SALIN 1000ML IV,J7030,182.0
HYALURONID RECOM 1UN,J3473,285.0
PORT 3,C1788,7614.0
LE-KNEE 4V PLUS DR,73564,897.0
THYROTROPN .9MG INJ,J3240,6086.0
MR-THOR SPINE W,72147,7048.0
JOINT DEVICE IMPLT 7,C1776,50117.0
IR-RMV BIL DRG CATH,SURG,3943.0
BLOOD TRANSF 8 10 HR,36430,3973.0
INF AGENT IMMUNO QUA,86317,105.0
NM-HEPATOBILIARY SYS,78226,3464.0
DEBRDE EA AD20CM PT,97598,550.0
PROC WND CARE COMPLX,SURG,3846.0
S-INJ SHOULDER ARTH,23350,1075.0
US-PELVS PREG GESADD,76810,671.0
LITHIUM,80178,214.0
ADM COV2 VAC JANSSEN,0031A,59.0
SU-CHOLE W GRAMS DR,74300,800.0
IR-ARTHROGRAM WRIST,73115,1575.0
S-JOINT ASP-INJ SM,20600,1013.0
IONTOPHOR-15 MIN OT,97033,325.0
MR-THOR SPINE WWO,72157,6858.0
IR-RMVL TU CVAD W SQ,36590,4853.0
CYTAL SQ CM,Q4166,29.0
NI-TEE COMP 2D W-WO,C8925,4256.0
PHENOBARB 120MG INJ,J2560,300.0
CYTOPATH EVAL OF FNA,88172,99.0
TISSUE MARKR IMPLT 1,A4648,4121.0
US-PELVIS PREG LTD,76815,699.0
SEIZURES WITH MCC,100,70846.91429
SEIZURES WITHOUT MCC,101,42902.10294
HEADACHES WITHOUT MCC,103,37441.8
"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",156,48230.8
OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,166,429567.55
PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,175,97381.31429
PULMONARY EMBOLISM WITHOUT MCC,176,49912.66667
RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,177,93620.3069
RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,178,51895.88696
RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,179,35531.0
RESPIRATORY NEOPLASMS WITH MCC,180,181121.4
MAJOR CHEST TRAUMA WITH MCC,183,81182.0
PULMONARY EDEMA AND RESPIRATORY FAILURE,189,88267.97705
CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,190,68470.36154
SIMPLE PNEUMONIA AND PLEURISY WITH MCC,193,82803.65676
SIMPLE PNEUMONIA AND PLEURISY WITH CC,194,53392.68
SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,195,29081.74286
INTERSTITIAL LUNG DISEASE WITH MCC,196,162106.175
PNEUMOTHORAX WITH MCC,199,93746.1
BRONCHITIS AND ASTHMA WITH CC/MCC,202,44899.02857
BRONCHITIS AND ASTHMA WITHOUT CC/MCC,203,31479.32414
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,207,341138.31
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,208,170235.081
PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,242,145949.0
PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,244,106450.0
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,246,254102.5771
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,247,213720.8161
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",280,117458.5273
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,115098.3304
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,88910.4
"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",286,151868.2333
"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",287,126226.6692
ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,288,129206.6706
SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,29,142988.9667
HEART FAILURE AND SHOCK WITH MCC,291,99875.5328
HEART FAILURE AND SHOCK WITH CC,292,54112.33333
HEART FAILURE AND SHOCK WITHOUT CC/MCC,293,46280.5
PERIPHERAL VASCULAR DISORDERS WITH MCC,299,78486.0
PERIPHERAL VASCULAR DISORDERS WITH CC,300,73032.38
HYPERTENSION WITHOUT MCC,305,56413.0
CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,308,61299.10667
CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,309,52289.91538
CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,310,52016.36364
SYNCOPE AND COLLAPSE,312,31009.51667
OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,314,105823.9471
MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,329,240102.9905
MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,330,146635.216
MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,331,103974.5783
PERITONEAL ADHESIOLYSIS WITH MCC,335,391440.4333
PERITONEAL ADHESIOLYSIS WITH CC,336,114362.64
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,339,184223.3
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,340,69075.175
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,343,63042.5
MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,346,83561.75
MAJOR ESOPHAGEAL DISORDERS WITH MCC,368,95743.1
MAJOR ESOPHAGEAL DISORDERS WITH CC,369,45464.0
MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,371,83387.26667
DIGESTIVE MALIGNANCY WITH CC,375,85217.66667
GASTROINTESTINAL HEMORRHAGE WITH MCC,377,93326.89667
GASTROINTESTINAL HEMORRHAGE WITH CC,378,66115.65106
INFLAMMATORY BOWEL DISEASE WITH MCC,385,96649.0
INFLAMMATORY BOWEL DISEASE WITH CC,386,36443.77143
INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,387,45172.4
GASTROINTESTINAL OBSTRUCTION WITH MCC,388,61471.7375
GASTROINTESTINAL OBSTRUCTION WITH CC,389,49132.76471
GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,390,36118.4
"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",391,70042.08
"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",392,47925.22195
OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,393,94114.15
OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,394,33870.0
"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",4,765815.62
CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,415,103184.3667
LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,417,120634.8
LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,418,93734.28333
LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,419,84693.65
CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,432,114844.57
CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,433,60257.32
DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,438,89834.375
DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,439,50246.45
DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,440,51529.46667
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",441,119336.7636
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",442,39436.8
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",443,118254.2
COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,455,262225.8472
SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,460,223648.484
WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH MCC,463,339374.15
WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH CC,464,159303.4286
REVISION OF HIP OR KNEE REPLACEMENT WITH CC,467,152212.0333
MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,470,161349.1125
CERVICAL SPINAL FUSION WITHOUT CC/MCC,473,167182.772
HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,480,200319.7133
HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,481,151837.3477
HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,482,109788.2429
KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC, ,236254.55
"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",493,175100.9
SOFT TISSUE PROCEDURES WITH CC,501,98385.94286
"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",511,127604.5
HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,521,207325.5571
HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,522,179892.74
FRACTURES OF HIP AND PELVIS WITHOUT MCC,536,52887.25
OSTEOMYELITIS WITH MCC,539,114667.2
NERVOUS SYSTEM NEOPLASMS WITH MCC,54,71804.66667
OSTEOMYELITIS WITH CC,540,65512.5
SEPTIC ARTHRITIS WITHOUT CC/MCC,550,71584.6
MEDICAL BACK PROBLEMS WITH MCC,551,133879.7778
MEDICAL BACK PROBLEMS WITHOUT MCC,552,72375.04
"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",558,55987.27778
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",559,95623.3
"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",563,92334.4
OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,564,62183.0
DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,57,77995.76667
"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC",580,95248.4375
"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",581,78442.45
MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,59,27812.0
SKIN ULCERS WITH MCC,592,102190.3
SKIN ULCERS WITH CC,593,115442.6
CELLULITIS WITH MCC,602,88806.85714
CELLULITIS WITHOUT MCC,603,57992.89423
MINOR SKIN DISORDERS WITH MCC,606,55425.0
MINOR SKIN DISORDERS WITHOUT MCC,607,62822.6
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,167493.8
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",617,114647.6583
"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",623,137811.95
DIABETES WITH MCC,637,79720.56667
DIABETES WITH CC,638,57569.08235
DIABETES WITHOUT CC/MCC,639,40722.25714
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,64,139655.84
"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",640,87202.66522
"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",641,61752.26
ENDOCRINE DISORDERS WITH CC,644,36491.4
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,65,88393.31938
MAJOR BLADDER PROCEDURES WITH CC,654,155268.7
MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,655,79373.25
KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,656,181957.5
KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,659,213768.28
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,66,64842.91429
KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,660,117554.85
KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,661,71511.25333
TRANSURETHRAL PROCEDURES WITH CC,669,151635.1
OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,673,168045.7333
OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,674,175126.3
RENAL FAILURE WITH MCC,682,95903.926
RENAL FAILURE WITH CC,683,68395.90465
RENAL FAILURE WITHOUT CC/MCC,684,72174.0
KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,689,67934.39474
KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,690,54977.61923
OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,698,89503.69789
OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,699,46550.96667
NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,70,66996.1
MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,707,160915.1333
NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,71,79790.0
CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,74,82604.53333
UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,742,95444.46667
UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,743,75810.16667
"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC",758,20970.0
MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC,760,49996.0
VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERILIZATION AND/OR D&C,768,42950.86154
POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURES,776,32121.12727
CESAREAN SECTION WITH STERILIZATION WITH CC,784,41650.65
CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC,785,38417.74545
CESAREAN SECTION WITHOUT STERILIZATION WITH MCC,786,57210.67895
CESAREAN SECTION WITHOUT STERILIZATION WITH CC,787,40205.54783
CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC,788,39239.28021
"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",789,9785.034483
PREMATURITY WITH MAJOR PROBLEMS,791,16787.08333
PREMATURITY WITHOUT MAJOR PROBLEMS,792,10898.72727
FULL TERM NEONATE WITH MAJOR PROBLEMS,793,13651.58929
NEONATE WITH OTHER SIGNIFICANT PROBLEMS,794,6884.348276
NORMAL NEWBORN,795,5337.760933
VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH CC,797,72737.7
VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITHOUT CC/MCC,798,66154.0
VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH MCC,805,34213.50667
VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH CC,806,34480.20723
VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,807,31430.07692
RED BLOOD CELL DISORDERS WITH MCC,811,109141.8333
RED BLOOD CELL DISORDERS WITHOUT MCC,812,74309.36667
